ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
3478,4443002,Active,419226,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,ROCKAWAY BOULEVARD,N,111 STREET,112 STREET,40.6774838436362,-73.8268868290393,1032267.14378297,186149.491924062,POINT (-73.8268868290393 40.6774838436362)
4364,5780279,Retired,,,,,Staten Island,RICHMOND TERRACE,,,HAMILTON AVENUE,40.644268626711,-74.0752871793822,963356.860015884,174009.790153638,POINT (-74.0752871793822 40.644268626711)
4597,4451796,Active,404962,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,99 STREET,W,63 ROAD,63 DRIVE,40.731847435107,-73.8568133976332,1023933.91569881,205940.76467739,POINT (-73.8568133976332 40.731847435107)
5054,4081898,Active,426822,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,89 AVENUE,N,153 STREET,BURDETTE PLACE,40.7053971575893,-73.80312681553,1038834.69429614,196333.023722306,POINT (-73.80312681553 40.7053971575893)
9819,1443832,Active,107117,1HR Com Mon-Sat 1900-2400,,On Street,Manhattan,WEST 42 STREET,S,9 AVENUE,DYER AVENUE,40.7587553310394,-73.9936170289228,986018.315677136,215711.802221894,POINT (-73.9936170289228 40.7587553310394)
11849,1218156,Active,114166,2HR Pas Mon-Sat 0800-2200,,On Street,Manhattan,BROADWAY,E,WEST 90 STREET,WEST 91 STREET,40.7911050120327,-73.9741630190722,991404.309170216,227498.8672304,POINT (-73.9741630190722 40.7911050120327)
12473,3071403,Active,311143,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,18 AVENUE,W,81 STREET,82 STREET,40.6097553185996,-73.9997447577059,984320.869596973,161426.694584981,POINT (-73.9997447577059 40.6097553185996)
14222,4293022,Active,425607,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,101 AVENUE,N,111 STREET,112 STREET,40.6882307972875,-73.83229306151,1030760.09955297,190061.99394156,POINT (-73.83229306151 40.6882307972875)
2164,1433050,Inactive,104672,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,WEST 43 STREET,N,5 AVENUE,AVENUE OF THE AMERICAS,40.7544099616173,-73.9808676886288,989550.693454891,214129.157093227,POINT (-73.9808676886288 40.7544099616173)
8608,3383025,Active,332626,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,AVENUE L,N,EAST 92 STREET,EAST 93 STREET,40.6365536664391,-73.8986992835675,1012365.47164413,171206.29904148,POINT (-73.8986992835675 40.6365536664391)
646,2083060,Active,207563,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,WHITE PLAINS ROAD,W,EAST 239 STREET,EAST 240 STREET,40.9017442611577,-73.8518502173003,1025204.76289463,267842.508327723,POINT (-73.8518502173003 40.9017442611577)
13951,4423106,Active,430112,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,164 STREET,E,69 AVENUE,JEWEL AVENUE,40.7322890505903,-73.804885620259,1038325.22910772,206129.449011311,POINT (-73.804885620259 40.7322890505903)
893,3493005,Active,318496,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,14 AVENUE,E,64 STREET,65 STREET,40.6249420163262,-73.9989178745161,984550.390463382,166959.60904406,POINT (-73.9989178745161 40.6249420163262)
70,4151997,Active,416608,4HR Pas Mon-Sat 0900-1900,,On Street,Queens,31 STREET,W,THOMSON AVENUE,47 AVENUE,40.7434376889574,-73.9357783448582,1002045.8295538,210137.549918979,POINT (-73.9357783448582 40.7434376889574)
10823,1453150,Active,101472,3HR Com Mon-Fri 0830-1900,,On Street,Manhattan,EAST 18 STREET,S,PARK AVENUE SOUTH,IRVING PLACE,40.7365556080847,-73.9872906024262,987772.13992539,207623.921744138,POINT (-73.9872906024262 40.7365556080847)
5386,1443521,Inactive,104047,3HR Com Mon-Fri 0730-1900,,On Street,Manhattan,WEST 26 STREET,S,7 AVENUE,8 AVENUE,40.7461877764889,-73.9948283343415,985683.010245383,211133.013479233,POINT (-73.9948283343415 40.7461877764889)
5811,1023094,Active,105686,2HR Pas Mon-Sat 1000-1900,,On Street,Manhattan,CLINTON STREET,W,STANTON STREET,RIVINGTON STREET,40.7199202994529,-73.9846904274374,988493.782510966,201563.276713222,POINT (-73.9846904274374 40.7199202994529)
7376,4123073,Active,466558,2 HR Pas Mon-Sat 0800-2200,,On Street,Queens,37 ROAD,S,74 STREET,75 STREET,40.7472440431454,-73.8910828937985,1014429.21587622,211536.565165564,POINT (-73.8910828937985 40.7472440431454)
5660,4383135,Retired,436152,1HR Pas Mon-Fri 0700-1600,,On Street,Queens,10 AVENUE,N,152 STREET,154 STREET,40.7935123707162,-73.8088917665938,1037166.27866971,228432.61897181,POINT (-73.8088917665938 40.7935123707162)
14978,4303005,Active,406266,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,HILLSIDE AVENUE,S,HILLSIDE AVENUE,88 AVENUE,40.7310825525405,-73.7421764129325,1055706.10379472,205734.818238899,POINT (-73.7421764129325 40.7310825525405)
